V(m/s),T2-VLM2+Drag,,
53.30573,5.598094,,
42.87039,8.208941,,
36.85429,10.56845,,
32.8212,12.68873,,
29.87746,14.4604,,
27.60764,15.98903,,
25.78893,17.0113,,
24.28969,17.62101,,
23.02649,17.92085,,
21.94353,18.00165,,
21.00191,17.89381,,
20.17357,17.67451,,
19.43768,17.37998,,
18.77841,17.02583,,
18.1835,16.62711,,
17.64326,16.20755,,
17.14994,15.77335,,
16.69726,15.33019,,
16.28005,14.88544,,
15.89401,14.4429,,
15.53556,14.02044,,
15.20166,13.61649,,
14.88973,13.23108,,
14.59754,12.86248,,
14.32318,12.51001,,
14.06498,12.17296,,
13.82151,11.85141,,
13.59147,11.536,,
13.37375,11.1977,,
13.16736,10.83966,,

