,VLM2-0.0°-25.79m/s,,
-748.7192,0.04639719,,
-743.6047,0.07960221,,
-733.4106,0.1139289,,
-718.2066,0.1467874,,
-698.0965,0.1776845,,
-673.2177,0.2065453,,
-643.7401,0.2335015,,
-609.8651,0.2587907,,
-571.8242,0.2826785,,
-529.8771,0.3053994,,
-484.3104,0.3271195,,
-435.4353,0.3479179,,
-383.5858,0.3677807,,
-329.1161,0.3865971,,
-272.3981,0.4041544,,
-213.8194,0.4201143,,
-153.78,0.433983,,
-92.69023,0.4450297,,
-30.96725,0.452053,,
30.96725,0.452053,,
92.69023,0.4450297,,
153.78,0.433983,,
213.8194,0.4201143,,
272.3981,0.4041544,,
329.1161,0.3865971,,
383.5858,0.3677807,,
435.4353,0.3479179,,
484.3104,0.3271195,,
529.8771,0.3053994,,
571.8242,0.2826785,,
609.8651,0.2587907,,
643.7401,0.2335015,,
673.2177,0.2065453,,
698.0965,0.1776845,,
718.2066,0.1467874,,
733.4106,0.1139289,,
743.6047,0.07960221,,
748.7192,0.04639719,,

