alpha,cl,cd,cdp,cm,conv
-5,-0.15551657782164063,0.009321762223622451,0.0023898426059692094,-0.08518055370968243,true
-4,-0.04857474816687101,0.007982795725562621,0.0012938380981503796,-0.08415427405621569,true
-3,0.062198516903524355,0.007531256194739234,0.0008286514507469223,-0.08368475239380496,true
-2,0.17380481968911113,0.007172065610418763,0.0004836584036696421,-0.0833461576403564,true
-1,0.2841822661229915,0.006673750055020768,0.00029158410279261817,-0.08301864747253423,true
0,0.39379112526516236,0.0062494506977601415,0.0002531774312139166,-0.08269390729116083,true
1,0.49848027314274074,0.005508898790596082,0.0003216653343087428,-0.08160946967776316,true
2,0.6094675542460258,0.005327760701921686,0.0005701762971114382,-0.08093086472040327,true
3,0.7435492410030318,0.006227794935881842,0.0007969311162847519,-0.08633790719133877,true
4,0.8375515156632893,0.007048568639804492,0.001035792314755867,-0.08287367912209281,true
5,0.9383735148851785,0.007620686916220704,0.001224257513139728,-0.08076689888068588,true
6,1.0416018413018222,0.008221119880862455,0.001414940282113452,-0.0793097061520824,true
7,1.1402214499061114,0.009223865305642205,0.0017246371972141617,-0.07729731817412258,true
8,1.224498317128114,0.011278371153682834,0.0026119957888178684,-0.07318141998135833,true
9,1.3121369913018415,0.012927112147799773,0.0033549990962506247,-0.06971735776290268,true
10,1.3741571034057027,0.01588575502947695,0.004853609342940908,-0.06225699863788658,true
11,1.4403636331674552,0.017999908492271746,0.0058915169283846065,-0.05572746638774565,true
12,1.4953121493799781,0.02091896116892668,0.0074351520872653195,-0.048742547770142926,true
13,1.5452442626762761,0.02446170068497148,0.00943821356061674,-0.0426316355331292,true
14,1.5671605545209923,0.030733772771812485,0.013364838716566473,-0.03591901442696837,true
15,1.593641883979988,0.037485494124939546,0.0178447325532955,-0.0320058214267166,true
16,1.6002589895209354,0.04718713400689384,0.024719597591190273,-0.029676323315446243,true
17,1.5884020052517251,0.06049708134352124,0.0347936927984327,-0.030034787033744077,true
18,1.551268543530338,0.07880725678461838,0.049692210716087856,-0.03372490435154979,true
19,1.487020043488032,0.10290300177972175,0.07122878293102114,-0.041343479604452366,true
20,1.4155389676415844,0.12965810518095705,0.09859499383662958,-0.05207009896387587,true
