Alpha,T2-VLM2+Drag,,Alpha,T2-VLM2-5000.0g-x0.0mm,,Alpha,T7-VLM2+Drag,,
-5,0.4027049,,-4,0.08280664,,-1.052802,0.7318938,,
-4.75,0.4236904,,-3.5,0.1236065,,-1.052802,0.7318938,,
-4.5,0.4446628,,-3,0.1644005,,-1.052802,0.7318938,,
-4.25,0.465621,,-2.5,0.2051804,,-1.052802,0.7318938,,
-4,0.4865638,,-2,0.2459376,,-1.052802,0.7318938,,
-3.75,0.5074901,,-1.5,0.2866637,,-1.052802,0.7318938,,
-3.5,0.5283987,,-1,0.3273502,,-1.052802,0.7318938,,
-3.25,0.5492884,,-0.5,0.3679887,,-1.052802,0.7318938,,
-3,0.5701581,,0,0.4085708,,-1.052802,0.7318938,,
-2.75,0.5910066,,0.5,0.449088,,-1.052802,0.7318938,,
-2.5,0.6118328,,1,0.4895321,,-1.052802,0.7318938,,
-2.25,0.6326355,,1.5,0.5298946,,,,,
-2,0.6534136,,2,0.5701674,,,,,
-1.75,0.6741659,,2.5,0.6103421,,,,,
-1.5,0.6948912,,3,0.6504105,,,,,
-1.25,0.7155885,,3.5,0.6903644,,,,,
-1,0.7362565,,4,0.7301959,,,,,
-0.75,0.7568943,,4.5,0.7698967,,,,,
-0.5,0.7775005,,5,0.809459,,,,,
-0.25,0.7980741,,5.5,0.8488747,,,,,
0,0.818614,,6,0.8881361,,,,,
0.25,0.839119,,6.5,0.9272354,,,,,
0.5,0.8595881,,7,0.9661649,,,,,
0.75,0.88002,,7.5,1.004917,,,,,
1,0.9004138,,8,1.043484,,,,,
1.25,0.9207682,,8.5,1.081858,,,,,
1.5,0.9410823,,9,1.120033,,,,,
1.75,0.9613548,,9.5,1.158001,,,,,
2,0.9815847,,10,1.195754,,,,,
2.25,1.001771,,10.5,1.233287,,,,,
2.5,1.021913,,11,1.27059,,,,,
2.75,1.042008,,11.5,1.307659,,,,,
3,1.062057,,12,1.344486,,,,,
3.25,1.082058,,12.5,1.381065,,,,,
3.5,1.10201,,13,1.417389,,,,,
3.75,1.121911,,,,,,,,
4,1.141762,,,,,,,,
4.25,1.16156,,,,,,,,
4.5,1.181305,,,,,,,,
4.75,1.200996,,,,,,,,
5,1.220632,,,,,,,,
5.25,1.240211,,,,,,,,
5.5,1.259734,,,,,,,,
5.75,1.279197,,,,,,,,
6,1.298602,,,,,,,,
6.25,1.317946,,,,,,,,
6.5,1.337229,,,,,,,,
6.75,1.35645,,,,,,,,
7,1.375608,,,,,,,,
7.25,1.394701,,,,,,,,
7.5,1.41373,,,,,,,,
7.75,1.432692,,,,,,,,
8,1.451588,,,,,,,,
8.25,1.470415,,,,,,,,

