alpha,cl,cd,cdp,cm,conv
-5,-0.623714212266102,0.009366613120575521,0.0014907960709813122,0.014363155756395019,true
-4,-0.4886464751474779,0.008262164358380432,0.0009245658357471176,0.008935282346683879,true
-3,-0.351210981681801,0.006788725969613866,0.0004963932535989111,0.002597898627660775,true
-2,-0.2202671631731511,0.005527932418352973,0.00024905311478854434,-0.0018989682441675657,true
-1,-0.09830431159837769,0.004538125127846141,8.894707439878816e-5,-0.0038866164016428937,true
0,8.173583337933721e-14,0.004215570458658969,3.110562508588699e-5,-2.098121136339494e-14,true
1,0.09830445989112452,0.004538112524750454,8.898756569298853e-5,0.003886584962883178,true
2,0.2202643022985598,0.0055278485632851175,0.00024920553946740473,0.001899612882638297,true
3,0.35122630473502026,0.006788575541387238,0.0004967609772246357,-0.0026015503881710294,true
4,0.4886667917948114,0.008261847210983386,0.0009252328054466124,-0.00894018592522414,true
5,0.623755834697589,0.009366203672570973,0.001491904947977184,-0.014373128989361194,true
6,0.7339635630621449,0.010250465253626906,0.0020123832197332056,-0.01453459780979642,true
7,0.8214075212066263,0.011074715773017477,0.002520287715036987,-0.009774940911664873,true
8,0.9084171136182275,0.0120689674753361,0.00299691018303717,-0.005134351000951249,true
9,0.9891200117789184,0.013863604652943042,0.004035092387152934,0.0005323919592125112,true
10,1.0631961173927862,0.016404888292132873,0.0057062985256020075,0.007028240562481739,true
11,1.1344405363061352,0.019096085338496695,0.007622118159226642,0.013384583768388155,true
12,1.170254257101196,0.024667219191260498,0.011710894819744652,0.023820227875030367,true
13,1.1771655583654377,0.030267068881091652,0.015929149595768185,0.036348538865929696,true
14,1.1399219022871636,0.042589658731228684,0.026177032553949625,0.03892199675578832,true
15,1.0315212134458502,0.08014234878804229,0.06174776918617837,0.013224843939371107,true
16,0.8531508623168916,0.13453587206734613,0.12040386841110456,-0.01407959316149447,true
17,0.8055977834038284,0.15909761567635966,0.15408034609200888,-0.025658342367418995,false
18,7.657946232433604,0.2947459885590898,2.4173665903782124,-1.881110773308077,false
19,0.35402574832252864,0.19958386889015864,0.1063147270630107,0.014558423359455981,false
20,0.6145180176956886,0.21707400283218617,0.22105730494723538,-0.05601240364655717,false
