FoamType,rho,E11,E22,E33,E33,DataSource
Units,kg/m3,Pa,Pa,Pa,E33,---
Spyderfoam,36.84255,27579040,47573844,0,0,MarkDrela
Spyderfoam,37.80366,8397817.68,23152604.08,48449478.52,1281608.144,PhilBarnes
Hi-Load60,36.041625,7584236,23442184,41368560,1147799.523,MarkDrela
HiLoad60a,36.84255,8473660.04,19436328.44,42830249.12,1162521.3,PhilBarnes
HiLoad60b,36.84255,9735401.12,19912066.88,44209201.12,1199949.545,PhilBarnes
DowBlue,28.032375,13789520,4412646.4,17236900,614892.6019,MarkDrela
Foamular250a,26.110155,15975158.92,13093149.24,16354370.72,626360.5375,PhilBarnes
Foamular250b,26.110155,16754266.8,13596466.72,17071425.76,653823.2255,PhilBarnes
Foamular400a,31.71663,19222590.88,20311962.96,20277489.16,639333.03,PhilBarnes
Foamular400b,31.71663,20132699.2,21291018.88,21284124.12,671071.4259,PhilBarnes
Formular600a,48.69624,33970482.52,33970482.52,35218434.08,723226.9695,PhilBarnes
Foamular600b,48.69624,32515688.16,33143111.32,36204384.76,743473.9265,PhilBarnes
GreyFoama,24.66849,19953435.44,7267077.04,4412646.4,178877.8478,PhilBarnes
GreyFoamb,24.66849,19615592.2,7618709.8,4054118.88,164344.0227,PhilBarnes
StyliteA,30.915705,12941464.52,20036172.56,24055817.64,778109.949,PhilBarnes
StyliteB,30.915705,12734621.72,19677645.04,23552500.16,761829.6319,PhilBarnes
Rohacell31,30.43515,35301171.2,35301171.2,35301171.2,1159881.624,CST
Rohacell51,49.65735,68602862,68602862,68602862,1381524.83,CST
