Real,T7-VLM2_Mode_0,,Real,T7-VLM2_Mode_1,,Real,T7-VLM2_Mode_2,,Real,T7-VLM2_Mode_3,,Real,T7-VLM2_Mode_0,,Real,T7-VLM2_Mode_1,,Real,T7-VLM2_Mode_2,,Real,T7-VLM2_Mode_3,,Real,T7-VLM2_Mode_0,,Real,T7-VLM2_Mode_1,,Real,T7-VLM2_Mode_2,,Real,T7-VLM2_Mode_3,,
-27.30562,0,,-2.094231,-1.343137,,-2.094231,1.343137,,0.08279665,0,,-22.58643,0,,-1.826763,-1.112866,,-1.826763,1.112866,,0.09885483,0,,-34.88393,0,,-2.550501,-1.712532,,-2.550501,1.712532,,0.06551326,0,,
,,,,,,,,,,,,-22.58643,0,,-1.826763,-1.112866,,-1.826763,1.112866,,0.09885483,0,,,,,,,,,,,,,,
,,,,,,,,,,,,-22.58643,0,,-1.826763,-1.112866,,-1.826763,1.112866,,0.09885483,0,,,,,,,,,,,,,,
,,,,,,,,,,,,-22.58643,0,,-1.826763,-1.112866,,-1.826763,1.112866,,0.09885483,0,,,,,,,,,,,,,,
,,,,,,,,,,,,-22.58643,0,,-1.826763,-1.112866,,-1.826763,1.112866,,0.09885483,0,,,,,,,,,,,,,,
,,,,,,,,,,,,-22.58643,0,,-1.826763,-1.112866,,-1.826763,1.112866,,0.09885483,0,,,,,,,,,,,,,,
,,,,,,,,,,,,-22.58643,0,,-1.826763,-1.112866,,-1.826763,1.112866,,0.09885483,0,,,,,,,,,,,,,,
,,,,,,,,,,,,-22.58643,0,,-1.826763,-1.112866,,-1.826763,1.112866,,0.09885483,0,,,,,,,,,,,,,,
,,,,,,,,,,,,-22.58643,0,,-1.826763,-1.112866,,-1.826763,1.112866,,0.09885483,0,,,,,,,,,,,,,,
,,,,,,,,,,,,-22.58643,0,,-1.826763,-1.112866,,-1.826763,1.112866,,0.09885483,0,,,,,,,,,,,,,,
,,,,,,,,,,,,-22.58643,0,,-1.826763,-1.112866,,-1.826763,1.112866,,0.09885483,0,,,,,,,,,,,,,,

